epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1557.8,2.17587,2.74239,1.86728,0.52861,0.20602,0.18042,0.07175,2.12461,2.72328,1.78278,0.000468525,0.000468525,0.000468525
2,3049.17,2.00452,2.187,1.77663,0.46672,0.17332,0.12929,0.04362,2.32948,2.94032,2.15463,0.00092615,0.00092615,0.00092615
3,9276.49,2.00691,2.17572,1.85828,0.0978,0.18279,0.10909,0.03488,2.5193,3.65684,2.22922,0.00136491,0.00136491,0.00136491
4,12077.3,2.03322,2.14597,1.86094,0.45939,0.23373,0.14966,0.05518,2.28684,2.7052,2.10164,0.00134412,0.00134412,0.00134412
5,13496.3,1.9129,2.02517,1.8061,0.54656,0.22499,0.16864,0.06351,2.11339,2.40807,1.88951,0.00131582,0.00131582,0.00131582
6,18333.9,1.86873,1.93141,1.74451,0.25449,0.28434,0.19867,0.07531,2.14909,2.58338,1.9232,0.00128753,0.00128753,0.00128753
7,22141.7,1.86465,1.96516,1.76302,0.36673,0.25571,0.18482,0.08095,2.03574,3.0883,1.79649,0.00125923,0.00125923,0.00125923
8,28615.8,1.8316,1.87717,1.70708,0.16324,0.40831,0.24178,0.10647,2.00265,2.03381,1.80353,0.00123094,0.00123094,0.00123094
9,91597.9,1.77451,1.85107,1.67108,0.25632,0.26822,0.24089,0.09425,1.9617,1.96769,1.76864,0.00120265,0.00120265,0.00120265
